Id,GrLivArea,SalePrice
1196,1456,176000
924,1617,193000
748,2640,265979
132,2054,244000
360,1924,280000
233,987,94500
921,1721,201000
925,1686,207500
816,1661,224900
1241,1768,224900
696,1137,176000
513,864,129900
1286,1412,132500
438,904,119000
209,2062,277000
1080,990,126000
1098,1088,170000
1148,1564,174500
400,1550,241000
329,2134,214500
837,1559,153500
1273,935,137000
451,813,110000
221,1498,204900
1430,1440,182900
1184,1130,120000
1136,986,102000
855,1779,170000
807,980,135500
361,912,156000
1431,1838,192140
1063,2337,90000
435,630,81000
1340,864,128500
165,1616,152000
28,1704,306000
456,1242,175500
656,1092,88000
1355,1865,235000
976,1382,165000
796,1564,171000
765,1494,270000
1104,1194,159500
473,1072,148000
349,1626,154000
732,1146,187500
1140,1167,144000
865,1372,250580
524,4676,184750
875,1131,66500
51,1470,177000
677,1774,87000
1362,1530,260000
1172,1261,163000
1128,1530,259000
85,1474,168500
649,1839,155000
89,1526,85000
570,943,135960
242,866,110500
641,1518,274000
1330,1632,176500
232,2794,403000
67,2207,180000
374,1319,123000
403,672,108000
87,1560,174000
1193,1472,125000
1351,2634,200000
891,924,122900
1221,912,115000
1045,2524,278000
1113,816,129900
363,1922,198500
1145,924,80000
723,864,124500
897,951,106500
1453,1072,145000
812,848,144500
1214,960,145000
411,1276,60000
830,1223,147400
1194,1224,165000
1041,1803,155000
579,1392,146000
948,1629,270000
1386,1154,125500
1444,952,121000
1051,1302,176485
639,796,85000
52,1176,114500
1021,1132,176000
109,1517,115000
815,1250,116000
1146,1576,149000
1096,1314,176432
1363,1738,104900
1242,1689,248328
207,1696,143900
168,2161,325624
